❤️获取密码_38,#genre#
关注QQ号,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
3484343181,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
3664992373,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
关注QQ群,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
480156599,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
850113859,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
获取密码,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
非 诚勿扰,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
非诚 勿扰,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
非诚勿 扰,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001


港澳台一线_38,#genre#

纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8

大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8

#TVB亚洲武侠,http://8.137.59.151:99/haioutz/haiousmttz.php?id=9 

凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192:80/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
民视,http://45.145.229.220:8080/cxsq/index.m3u8
龙华卡通,http://45.145.229.220:8080/jhtjh/index.m3u8
民视第一,http://45.145.229.220:8080/vcsa/index.m3u8
星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
经典影视,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
经典电影,http://ali.hlspull.yximgs.com/live/asdfg32522.flv

凤凰中文,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰资讯,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰香港,http://113.64.145.195:8081/hls/38/index.m3u8
港澳台二线_38,#genre#
纬来体育[1920*1080],http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
TVB星河[1280*720],http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8

大爱[1280*720],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2[1280*720],https://pulltv1.wanfudaluye.com/live/tv2.m3u8
环球电视[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8
凤凰中文[1920*1080],http://www.372583307.top:4022/udp/233.50.200.191:5140
香港佛陀[1920*1080],http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
YCTV[1920*1080],http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8
大爱1台[1280*720],https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台[1280*720],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
港澳台三线_38,#genre#
纬来体育[1920*1080],https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育[1920*1080],https://cloud.yumixiu768.com/tmp/123.m3u8
豆瓣高分http://43.138.170.29:35455/douyu/8770422
纬来体育[1920*1080],https://cloud.yumixiu768.com/tmp/123.m3u8
环球电视台[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8
中国环球电视[1024*576],http://live.cgtn.com/500/prog_index.m3u8
香港電台(RTHK 34)[1024*576],https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(RTHK 34)[1024*576],https://livedoc.cgtn.com/1000d/prog_index.m3u8

海峡两岸[1280*720],http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
环球电视台[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8
中国环球电视[1024*576],http://live.cgtn.com/500/prog_index.m3u8
CGNTV[1024*576],http://live.cgtn.com/1000/prog_index.m3u8
CGNTV[1024*576],http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV[1024*576],http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV[1024*576],https://livedoc.cgtn.com/500d/prog_index.m3u8

港澳台四线_38,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
ChannelV,http://vl15191373.imwork.net:8880/udp/239.93.1.7:2194

TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
星空卫视,http://vl15191373.imwork.net:8880/udp/239.93.1.10:2193
TVB功夫台,https://ali.hlspull.yximgs.com/live/12344.flv
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8


港澳台五线_38,#genre#
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8

4k修复[3840*2160],http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

环球电视台[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8



朝鲜新闻[1280*720],http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国新闻[1280*720],http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8

环球频道[1024*576],http://live.cgtn.com/500/prog_index.m3u8

环球频道,http://live.cgtn.com/500/prog_index.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
港澳台六线_38,#genre#
纬来体育[1920*1080],https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育[1920*1080],https://cloud.yumixiu768.com/tmp/123.m3u8
豆瓣高分http://43.138.170.29:35455/douyu/8770422
纬来体育[1920*1080],https://cloud.yumixiu768.com/tmp/123.m3u8
环球电视台[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8
中国环球电视[1024*576],http://live.cgtn.com/500/prog_index.m3u8
香港電台(RTHK 34)[1024*576],https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8

海峡两岸[1280*720],http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
环球电视台[1920*1080],http://zb.xzxwhcb.com:9999/hls/world.m3u8
中国环球电视[1024*576],http://live.cgtn.com/500/prog_index.m3u8
CGNTV[1024*576],http://live.cgtn.com/1000/prog_index.m3u8
CGNTV[1024*576],http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV[1024*576],http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV[1024*576],https://livedoc.cgtn.com/500d/prog_index.m3u8
4k修复,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

📡香港频道_38,#genre#

港台33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港電台(RTHK 34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(RTHK 34),https://livedoc.cgtn.com/1000d/prog_index.m3u8


凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192

凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192
CGNTV1,http://live.cgtn.com/1000/prog_index.m3u8
CGNTV2,http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV,http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV3,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV4,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGNTV5,http://live.cgtn.com/1000/prog_index.m3u8
CGNTV6,http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV7,http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV8,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV9,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGNTV10,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV11,https://livedoc.cgtn.com/500d/prog_index.m3u8
港台電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
港台電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
黄金翡翠台,mitv://generationnexxxt.com:19806/864714d6ebe847edaa948e9104107f12

大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱1台,mitv://135.148.104.228:19806/e89ec8c592484d88bc001e8d8a6c9e31
大爱1台,mitv://generationnexxxt.com:19806/e89ec8c592484d88bc001e8d8a6c9e31

大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱2台,mitv://generationnexxxt.com:19806/2036b83c58e344c782eb154b233c8c77

FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
📡东森测试_38,#genre#
民视新闻@@4[320x240][20240404],https://epg.pw/stream/d74bc09a058876e6c637224a7b60a69874cc28b06fbb467deb379dac72062e46.m3u8
三立新聞[1920x1080][20240323],https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8

中視@@3[1920x1080][20240322],https://epg.pw/stream/f1711cbda7de6c1897140f76268f8de35e35fc08a9efdfcb8262319cc69b66a1.m3u8
三立新聞[1920x1080][20240323],https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8


📡湾湾频道_38,#genre#

中天新闻,http://mtw.so/5FDwQQ



中视频道,rtmp://220.130.201.73/sat/tv091
华视频道,rtmp://220.130.201.73/sat/tv111
台视频道,rtmp://220.130.201.73/sat/tv071
民视频道,rtmp://220.130.201.73/sat/tv051
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来育乐,rtmp://220.130.201.73/sat/tv701
纬来日本,rtmp://220.130.201.73/sat/tv771
东森超视,rtmp://220.130.201.73/sat/tv331

民视频道,rtmp://f13h.mine.nu/sat/tv051
台视频道,rtmp://f13h.mine.nu/sat/tv071
中视频道,rtmp://f13h.mine.nu/sat/tv091
华视频道,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8


