香港頻道,#genre#
CCM,https://everydaytv.top/play-2-0-0.html$Js=everydaytv
翡翠台,https://everydaytv.top/play-2-1-0.html$Js=everydaytv
翡翠台·廣東版,https://everydaytv.top/play-2-2-0.html$Js=everydaytv
鳳凰香港台,https://everydaytv.top/play-2-3-0.html$Js=everydaytv
鳳凰中文,https://everydaytv.top/play-2-4-0.html$Js=everydaytv
鳳凰資訊,https://everydaytv.top/play-2-5-0.html$Js=everydaytv
HKS,https://everydaytv.top/play-2-6-0.html$Js=everydaytv
HOY TV,https://everydaytv.top/play-2-7-0.html$Js=everydaytv
HOY資訊台,https://everydaytv.top/play-2-8-0.html$Js=everydaytv
J2,https://everydaytv.top/play-2-9-0.html$Js=everydaytv
美亞電影台,https://everydaytv.top/play-2-10-0.html$Js=everydaytv
明珠台,https://everydaytv.top/play-2-11-0.html$Js=everydaytv
明珠台·廣東版,https://everydaytv.top/play-2-12-0.html$Js=everydaytv
NOW爆谷星影台,https://everydaytv.top/play-2-13-0.html$Js=everydaytv
NOW財經台,https://everydaytv.top/play-2-14-0.html$Js=everydaytv
NOW SPORTS PRIME,https://everydaytv.top/play-2-15-0.html$Js=everydaytv
NOW新聞台,https://everydaytv.top/play-2-16-0.html$Js=everydaytv
NOW直播台,https://everydaytv.top/play-2-17-0.html$Js=everydaytv
RTHK31,https://everydaytv.top/play-2-18-0.html$Js=everydaytv
RTHK32,https://everydaytv.top/play-2-19-0.html$Js=everydaytv
ViuTV,https://everydaytv.top/play-2-20-0.html$Js=everydaytv
ViuTV6,https://everydaytv.top/play-2-21-0.html$Js=everydaytv
無線財經體育資訊台,https://everydaytv.top/play-2-22-0.html$Js=everydaytv
無線新聞台,https://everydaytv.top/play-2-23-0.html$Js=everydaytv
無線新聞台·海外版,https://everydaytv.top/play-2-24-0.html$Js=everydaytv
香港國際財經台HKIBC,https://everydaytv.top/play-2-25-0.html$Js=everydaytv
星河台·國語版,https://everydaytv.top/play-2-26-0.html$Js=everydaytv
星河台·粵語版,https://everydaytv.top/play-2-27-0.html$Js=everydaytv
娛樂新聞台,https://everydaytv.top/play-2-28-0.html$Js=everydaytv
有線18台,https://everydaytv.top/play-2-29-0.html$Js=everydaytv
有線財經資訊台,https://everydaytv.top/play-2-30-0.html$Js=everydaytv
有線高清603台,https://everydaytv.top/play-2-31-0.html$Js=everydaytv
有線體育台,https://everydaytv.top/play-2-32-0.html$Js=everydaytv
有線新聞台,https://everydaytv.top/play-2-33-0.html$Js=everydaytv
🇹🇼台灣頻道,#genre#
AXN,https://everydaytv.top/play-3-0-0.html$Js=everydaytv
八大第1台,https://everydaytv.top/play-3-1-0.html$Js=everydaytv
八大精采台,https://everydaytv.top/play-3-2-0.html$Js=everydaytv
八大戲劇台,https://everydaytv.top/play-3-3-0.html$Js=everydaytv
八大綜合台,https://everydaytv.top/play-3-4-0.html$Js=everydaytv
八大綜藝台,https://everydaytv.top/play-3-5-0.html$Js=everydaytv
CATCHPLAY電影台,https://everydaytv.top/play-3-6-0.html$Js=everydaytv
cnex,https://everydaytv.top/play-3-7-0.html$Js=everydaytv
CNN,https://everydaytv.top/play-3-8-0.html$Js=everydaytv
Discovery,https://everydaytv.top/play-3-9-0.html$Js=everydaytv
Discovery Asia,https://everydaytv.top/play-3-10-0.html$Js=everydaytv
Discovery DMAX,https://everydaytv.top/play-3-11-0.html$Js=everydaytv
Discovery SCI,https://everydaytv.top/play-3-12-0.html$Js=everydaytv
東森財經新聞,https://everydaytv.top/play-3-13-0.html$Js=everydaytv
東森電影,https://everydaytv.top/play-3-14-0.html$Js=everydaytv
東森LIVE,https://everydaytv.top/play-3-15-0.html$Js=everydaytv
東森新聞,https://everydaytv.top/play-3-16-0.html$Js=everydaytv
東森洋片,https://everydaytv.top/play-3-17-0.html$Js=everydaytv
ELEVEN 1,https://everydaytv.top/play-3-18-0.html$Js=everydaytv
ELEVEN 2,https://everydaytv.top/play-3-19-0.html$Js=everydaytv
ELTA體育一台,https://everydaytv.top/play-3-20-0.html$Js=everydaytv
ELTA體育二台,https://everydaytv.top/play-3-21-0.html$Js=everydaytv
ELTA體育三台,https://everydaytv.top/play-3-22-0.html$Js=everydaytv
ELTA娛樂,https://everydaytv.top/play-3-23-0.html$Js=everydaytv
ELTV生活英語台,https://everydaytv.top/play-3-24-0.html$Js=everydaytv
HBO family,https://everydaytv.top/play-3-25-0.html$Js=everydaytv
HBO HiTS,https://everydaytv.top/play-3-26-0.html$Js=everydaytv
HBO Signature,https://everydaytv.top/play-3-27-0.html$Js=everydaytv
韓國娛樂台,https://everydaytv.top/play-3-28-0.html$Js=everydaytv
Hollywood,https://everydaytv.top/play-3-29-0.html$Js=everydaytv
華視,https://everydaytv.top/play-3-30-0.html$Js=everydaytv
華視新聞資訊,https://everydaytv.top/play-3-31-0.html$Js=everydaytv
寰宇新聞台,https://everydaytv.top/play-3-32-0.html$Js=everydaytv
靖天電影台,https://everydaytv.top/play-3-33-0.html$Js=everydaytv
靖天日本台,https://everydaytv.top/play-3-34-0.html$Js=everydaytv
靖天戲劇台,https://everydaytv.top/play-3-35-0.html$Js=everydaytv
靖天育樂台,https://everydaytv.top/play-3-36-0.html$Js=everydaytv
靖天綜合台,https://everydaytv.top/play-3-37-0.html$Js=everydaytv
靖洋戲劇台,https://everydaytv.top/play-3-38-0.html$Js=everydaytv
鏡新聞,https://everydaytv.top/play-3-39-0.html$Js=everydaytv
龍華電影,https://everydaytv.top/play-3-40-0.html$Js=everydaytv
龍華日韓,https://everydaytv.top/play-3-41-0.html$Js=everydaytv
龍華戲劇,https://everydaytv.top/play-3-42-0.html$Js=everydaytv
民視,https://everydaytv.top/play-3-43-0.html$Js=everydaytv
民視新聞台,https://everydaytv.top/play-3-44-0.html$Js=everydaytv
三立iNEWS,https://everydaytv.top/play-3-45-0.html$Js=everydaytv
三立LIVE,https://everydaytv.top/play-3-46-0.html$Js=everydaytv
三立綜合台,https://everydaytv.top/play-3-47-0.html$Js=everydaytv
